순환기,실신,혈관미주신경성,
,,* 쿠싱병,
,,* 딴곳부신겉질자극호르몬증후군,
,,* 부신 종양,
,,부신기능저하증,
,,"* Primary (파괴, Tb)",
,,* Secondary (steroid 중단),
,,알도스테론증,
,,* Primary ,
,,* Secondary ,
,,부신우연종,
,부신(수질),크롬친화세포종,
,당,당뇨,
,,* Somogyi phenomenon,
,,* Dawn phenomenon,
,,* DKA,
,,* HHS,
,,* DM retinopathy,
,,* DM nephropathy,
,,* DM neuropathy,
,,저혈당,
,지질,이상지질혈증,
,,* 가족성고콜레스테롤혈증,
,칼슘,Hyper Ca,
,,* 부갑상샘항진증,
,,Hypo Ca,
,,* 부갑상샘저하증,
,,골다공증,
,기타,포르피리아,
신장,전해질 이상,Hyper Na (145),
,,Hypo Na (135),
,,Hyper K (5.5),
,,Hypo K (3.5),
,산염기 질환,산증,
,,알칼리증,
,세관기능장애,RTA 1,
,,RTA 2,
,,RTA 4,
,,Liddle,
,,Batter,
,,Gittelman,
,혈뇨,횡문근융해증,
,단백뇨,기립성 단백뇨,
,,특발성 부종,
,신기능 이상,AKI,
,,Pre,
,,Renal,
,,Post ,
,,CKD,
,사구체질환,# 신증후군,
,,미세변화병 ,
,,막성사구체신염 ,
,,국소토리굳음증 ,
,,막증식토리콩팥염,
,,루푸스 콩팥염,
,,IgAN,
,,PSGN,
,,알포트증후군,
,,얕은토리바닥막병,
,,급속진행토리콩팥염,
,세관사이질 질환,세관사이질콩팥염,
,,알레르기성 ,
,신혈관 질환,신혈관성 고혈압,
,,신동맥 혈전색전증,
,,신정맥 혈전증,
,,호두까기 증후군,
,세관기능장애,다낭성 신질환,
,요로질환,요로결석,
,,요로폐색,
,* 요로감염,무증상 세균뇨,
,,급성방광염,
,,급성신우신염,
,,* 기종성신우신염,
,,* 콩팥 농양,
알레르기내과,Type I,아나필락시스,
,,* 음식의존 운동유발 AP,
,,* anaphylactoid reaction,
,,두드러기,
,,* 피부묘기증,
,,* 압박두드러기,
,,* 콜린두드러기,
,,* 한랭두드러기,
,,혈관부종 (유전성),
,,혈관부종 (후천성),
,,알레르기 비염,
,,음식 알레르기,
,,약물 알레르기,
,Type II,"용혈성 빈혈, Graves",
,Type III,혈청병,
,,"PSGN, SLE, 혈관염",
,Type IV,"접촉 피부염, SJS/TEN, DRESS",
